item_id,item_name,domain,review_text,rating
B0067WNSZY,"FGGF3032MW Gallery Series 30"" Wide Freestanding Gas Range 5 Sealed Burners Easy Temperature Probe Express-Select Controls One-Touch Self Clean:",Major Appliances,5,What a great stove.  What a wonderful replacement for my sort of antique.  Enjoy it every day.
B002QSXK60,Best Hand Clothes Wringer,Major Appliances,5,worked great
B00EC452R6,Supco SET184 Thermal Cutoff Kit,Major Appliances,5,Part exactly what I needed.  Saved by purchasing myself.
B00MVVIF2G,"Midea WHS-160RB1 Compact Single Reversible Door Refrigerator and Freezer, 4.4 Cubic Feet, Black",Major Appliances,5,Love my refrigerator! ! Keeps everything  cold..will recommend!
B00IY7BNUW,Avalon Bay Portable Ice Maker,Major Appliances,5,No more running to the store for ice!  Works perfectly.
B0033X29CI,Danby  Freestanding Wine Cooler,Major Appliances,1,It would not cool below 55 degrees and has now stopped working all together.  I would NOT recommend this piece of junk to anyone.
B005R597HA,Avanti 110-Volt Automatic Portable Compact Dryer with Stainless Drum and See-Thru Window,Major Appliances,5,Works awesome for apt size 110 dryer. Handles load from apt size washer just fine. It does take longer to dry. Electric cost savings over a full size 220 is worth the time. Does not add much humidity unless lint filter is full.
B00MO6V8Y0,Danby products,Major Appliances,5,exactly what I wanted!
B00HT39QDI,3 Pack Tier1 MSWF GE SmartWater Replacement Refrigerator Water Filter,Major Appliances,4,AS advertised
B00LESFZ52,"True TSSU-60-16 60"" 2 Door Refrigerated Sandwich Prep Table | (16) 1/6 Pan Capacity",Major Appliances,4,"It works as advertised, but has poor insulation in the top. Like the 3rd shelf, it comes in handy for small/short items."
B0149IJVPI,Magic: the Gathering - Rally the Ancestors (022/185) - Fate Reforged Magic: the Gathering,Major Appliances,2,"it's not worth 22 dollars, I've heard it became of some value just not that high."
B002HT0958,Mini Portable Countertop Spin Dryer,Major Appliances,5,Wonderful! It spins the clothes out fast! We use this with the washing machine just like this in our camper. Great and saves money at the camp laundry.  Just wash spin and hang up.
B006WOBNX6,"1 X Dishwasher Rack Roller for Frigidaire, Electrolux 154174501",Major Appliances,4,Did the job but didn't match the original gray wheels.
B00NLPMOU0,Watson 1.5 ft AC Power Extension Cord 14 AWG (Black),Major Appliances,5,Arrived on time and exactly as described.  Fits my need perfectly.  Very well satisfied.
B00KJ07SEM,GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,Major Appliances,5,Super
B001AT2ALM,Koldfront Ultra Compact Portable Ice Maker - White,Major Appliances,4,Looking forward to using this product.
B00JG8B42K,"OnePurify RFC0800A Water Filter Replacement Cartridge, 2 Pack",Major Appliances,1,cheap knock-off. dont waste your time
B00FRJ5EWS,2016 Life Water Ionizer Next Generation M9 Counter-top,Major Appliances,5,My wife is looking for a alkaline water machine and she told about this 4000+ machine.I doing a research online and gladly find this  M9. I call them right away and give me a good discount  and upgraded my system with no extra cost.As soon my M9 arrive it is very easy to install.I did a water test and the quality of the product exceed my expectation.I was very happy on my first M9.
B0052G14E8,Danby 0.7 cu.ft. Countertop Microwave,Major Appliances,1,3 of the buttons stopped working after a month of using it. It was used twice a day. Do not recommend it. go use your money for something more durable. Oh and also big plates do not fit in it.
B00LOVVE9A,"SPT UF-304SS Energy Star Upright Freezer, 3.0 Cubic Feet, Stainless Steel",Major Appliances,4,So far so good.
B000JLNBW4,Koolatron Coke Personal Mini Fridge,Major Appliances,4,Awesome little fridge worth getting :)
B00NO5WOIY,"LG LFXC24726S French Door Refrigerator, 24.0 Cubic Feet, Stainless Steel",Major Appliances,1,"Do not buy!  Recently purchased, water leaks under bottom veggie tray, ice formation also.  Bad design.  Ill be calling LG and wasting time trying to get it repaired.  Really bad for such an expensive refrigerator, stay away."
B00KJ07SEM,GE MWF SmartWater Compatible Water Filter Cartridge - Refrigerator,Major Appliances,5,"Arrived when promised, perfect fit - water tastes delicious!"
B002MPLYEW,"Danby 120 Can Beverage Center, Stainless Steel DBC120BLS",Major Appliances,4,nice
B001DPPXYE,Frigidaire Clothes Dryer Cycling Thermostat 134120900 Home Improvement,Major Appliances,5,"After watching a video on YouTube, I took the dryer apart and blew it out with an air compressor and now it runs like new."
B007N8XWAC,Sunpentown WC-0888H Thermo-Electric Slim Wine Cooler with Heating,Major Appliances,2,"Unit does not keep wine below 50 degrees, ever. Look at another product."
