item_id,item_name,domain,review_text,rating
B00OYRW4UE,"Elite Sportz Exercise Sliders are Double Sided and Work Smoothly on Any Surface. Wide Variety of Low Impact Exercise’s You Can Do. Full Body Workout, Compact for Travel or Home Ab Workout",Personal_Care_Appliances,5,Exactly as described. Good quality. Shipped fast
B0000537JQ,Ezy Dose Weekly,Personal_Care_Appliances,5,It is great
B00HXXO332,"Pulse Oximeter, Blood Oxygen Monitor",Personal_Care_Appliances,5,It's really nice it works great. You have the option for it to beep or not . Easy to use. Im very pleased
B00EOB0JA2,SE Tools Tool Kit Watch Watch Repair Kit (20 Piece),Personal_Care_Appliances,2,The kit works fine... simple cheap plastic tho
B00OC2O1UC,"doTERRA HD Clear Facial Kit - Facial Lotion, Foaming Face Wash, and HD Clear Blend",Personal_Care_Appliances,4,It works better than anything else ive tried
B00HES9CMS,"Viva Naturals #1 Best Selling Certified Organic Cacao Powder from Superior Criollo Beans, 1 LB Bag",Personal_Care_Appliances,5,"I added to my oatmeal and protein shakes, not bad at all.."
B0016BFR4G,Uncle Lee's Organic Green Tea -- 100 Tea Bags net wt 5.64 oz (160g),Personal_Care_Appliances,5,Husband drinks this green tea every morning and says he really loves it. Will purchase this product again for him. Love that it is organic.
B00K504UUG,Syrtenty Electrodes - Multiple size and quantity options,Personal_Care_Appliances,5,Good quality.
B00HES9CMS,"Viva Naturals #1 Best Selling Certified Organic Cacao Powder from Superior Criollo Beans, 1 LB Bag",Personal_Care_Appliances,5,This is high quality cacao powder. I would purchase it again.
B00P6TUO5G,"Viva Naturals Organic Non-GMO Cacao Powder, 2 Pound Bag",Personal_Care_Appliances,4,Buying more products with health benefits in mind and this fits the bill.  We've got high hopes for the health benefits and will buy again for use in smoothies and the such either way.
B0006VJ6TO,Body Back Company’s Body Back Buddy Trigger Point Therapy Self Massage Tool - PARENT,Personal_Care_Appliances,5,Their best cane.
B00H9L7VIW,"boostULTIMATE - 60 Capsules - Increase Workout Stamina, Muscle Size, Energy & More 1 Month Supply",Personal_Care_Appliances,5,Great product! Made my last workout excellent! Noticed ruin flow has improved greatly!
B00P1JNZUW,doTERRA Veráge Skin Care Collection,Personal_Care_Appliances,5,"Love the prouduct  and the smell of all of them, I will purchase more."
B00N5HD340,Straight Razor,Personal_Care_Appliances,5,great buy.
B0007DHMVK,BONGER Massage Tool Pair - Assorted colors,Personal_Care_Appliances,5,"These are so much fun and feel great. I love using them with music. I've had no issues with them at all and I've used them many times. They are easy to clean too, just wipe down."
B0002JG2NI,Home Health Castor Oil,Personal_Care_Appliances,5,"It works for home remedies.  It is  heavy and sticky and messy.  Not for everybody.  However, I had shoulder surgery and was left with some really ugly bruising.  I placed warmed packs with the wool flannel, plastic and a heating pad and voila the next day remarkable decrease in bruising.  The second day I placed on bruised areas again and they are almost gone.  Before the packs the bruising was staying there and not going away anytime soon.  There are many home remedies to use this stuff with.  The products were delivered promptly and were as posted.  Try it."
B00OYRW4UE,"Elite Sportz Exercise Sliders are Double Sided and Work Smoothly on Any Surface. Wide Variety of Low Impact Exercise’s You Can Do. Full Body Workout, Compact for Travel or Home Ab Workout",Personal_Care_Appliances,5,"These work great - just as I had been introduced to in the gym. Tough work out on my legs, but it's worth it. Works easy on my carpet."
B00598WT0C,Aloha Eyewear “Stone Creek MX1” Men’s Sports Wrap-Around Bifocal Reading Sunglasses,Personal_Care_Appliances,5,for anyone needing reading glasses these are the best for outdoor activities.  excellent quality
B0006VJ6TO,Body Back Company’s Body Back Buddy Trigger Point Therapy Self Massage Tool - PARENT,Personal_Care_Appliances,5,"This works perfect for that ache in the middle of your back that you just can't reach.  It works out all the knots just like a deep tissue massage.  This device is used by some physical therapist, and it really works."
B00J7G96NK,Oral B Glide Floss Picks - 30 ct - 8 pk,Personal_Care_Appliances,5,"Not only are these floss picks reasonably good value,but there also pretty good at the job they do. without snapping or wearing thin quickly. Why these picks cannot be found more generally is a really mystery - to quote a recent reviewer. You would think that apart from good brushing of your teeth - flossing is really important as well to maintain good oral hygiene. Now some people maybe great at using just floss wrapped around their fingers - but i am not one of them, so I find these essential."
B00UNLSL5C,Toe Separators - Durable Comfortble Gel Separator for Pedicures and Stretching - Set of 2 - Better Than Foam and Easy To Clean - Salon Style Pedicure,Personal_Care_Appliances,5,"My wife’s grabbed these at a store last week, and has been delighted with them. They are quite sturdy and comfortable, so her toes stay apart while painting them but, at the same time, causing no discomfort at all.<br />She’s quite happy with them so far, and plans to buy another pair for her sister as a gift."
B0006Z0NY2,Gopher Reacher,Personal_Care_Appliances,5,It is exactly what I was looking for -- the original Gopher!
B00H9L7VIW,"boostULTIMATE - 60 Capsules - Increase Workout Stamina, Muscle Size, Energy & More 1 Month Supply",Personal_Care_Appliances,5,"worked awesome, was never in any kind of sexual mood, now i can get it up whenever, partner loves it and notice a little help at the gym as well, absolutely recommend trying it, buying a 3 month subscription now"
B004O275X0,doTERRA Eucalyptus Essential Oil,Personal_Care_Appliances,5,Use it in my water and diffuse it. Love it. My dogs like the smell of it too. I wouldn't use a citrus essential oil around cats though because they are sensitive around any citrus. Better safe than sorry
B00HXXO332,"Pulse Oximeter, Blood Oxygen Monitor",Personal_Care_Appliances,5,"My daughter is going to nursing school and received a lot of compliments, so many students want to know where did her mother purchase it from"
B0012LP63C,WatchMinder 2 Silent Alarm & Reminder Watch System,Personal_Care_Appliances,5,"I am the inventor of the WatchMinder. 100K WatchMinders are currently being used worldwide. Customers are very happy and love this watch.<br />We are now on the fourth edition of the WatchMinder3. All of the reviews on Amazon refer to older editions of the watch. The picture on Amazon is 10 years old. To get up to date information, please visit watchminder.com."
B008S4PW6M,Norelco AT875 Deluxe AquaTec Rotary Razor,Personal_Care_Appliances,1,Piece of crap.......Quit working after five uses
B006Z921ES,Power One Size 312 MERCURY FREE Hearing Aid Batteries (60 batteries),Personal_Care_Appliances,5,Great.
B0001X6I6Q,Boardmaker (Win CD),Personal_Care_Appliances,3,Be careful when taking out the CD. Use the center button or your CD will break and you will have to buy a replacement.
B0093OIA3I,Bracelet Mate - Jewelry Helper - Bracelet Holder - Bracelet Fastener - White or Pink,Personal_Care_Appliances,4,Works great both putting it on and taking it off.
B00K504UUG,Syrtenty Electrodes - Multiple size and quantity options,Personal_Care_Appliances,5,Work well
B0037O2J7I,4 Way Shiny Block / 4 Step Buffing Block Shine Nail Buffer,Personal_Care_Appliances,5,Works great!
B00K504M8G,Syrtenty Electrodes - Multiple size and quantity options,Personal_Care_Appliances,5,Great! The price was awesome also
B001RU6MJA,"Perfect Body Tape Measure - 80""",Personal_Care_Appliances,5,I needed to do a bunch of measurements over three feet and this is great. Also rewinds well
B00H9L7VIW,"boostULTIMATE - 60 Capsules - Increase Workout Stamina, Muscle Size, Energy & More 1 Month Supply",Personal_Care_Appliances,5,Received very quickly........this stuff really works
B002C9MSAC,"OPTP PRO-ROLLER Soft Density Foam Roller - Durable Roller for Massage, Stretching, Fitness, Yoga and Pilates",Personal_Care_Appliances,5,Love this roller.  Purchased two others that were too hard for me but this  one is perfect.  i have fibromyalgia and i am still able to use this roller.  Great for stretching out the back and working out the knots.  Highly recommend as a starter roller for everyone and a permanent addition for anyone  who is pain sensitive.
B002QFXMZ2,"Acc U Rate CMS 500D Generation 2 Deluxe Fingertip Pulse Oximeter with alarm, silicon cover, batteries and lanyard (Yellow)",Personal_Care_Appliances,5,Still using it.
B00HES9CMS,"Viva Naturals #1 Best Selling Certified Organic Cacao Powder from Superior Criollo Beans, 1 LB Bag",Personal_Care_Appliances,5,I used it in my smoothies. Tasty
B00HES9CMS,"Viva Naturals #1 Best Selling Certified Organic Cacao Powder from Superior Criollo Beans, 1 LB Bag",Personal_Care_Appliances,5,"I love this product!!! Blends great in smoothies, and about everything!!"
B00H9L7VIW,"boostULTIMATE - 60 Capsules - Increase Workout Stamina, Muscle Size, Energy & More 1 Month Supply",Personal_Care_Appliances,3,"This is great for libido boosting  (does make you hornier more often), also can help in the gym with workout push. As for &#34;size&#34; gaining, nothing. But there aren't really pills that can do this anyway. Basically this is for low libido help."
B001A035V0,MANGROOMER Private Body Shaver,Personal_Care_Appliances,1,Disappointed..
B0026XWKKM,Hardwood Activated Charcoal Powder 16 oz (1 lb) in Mylar Bag,Personal_Care_Appliances,1,Did nothing for my gout.
B00R5PT0H2,Happy Hours - 3 Pcs Universal Double Layers Durabe & Razor Sharper Electronic Shaver Head Cutter Replacement for Philips Norelco HQ3 HQ56 HQ55 HQ442 HQ300 HQ916,Personal_Care_Appliances,3,The blades seem just fine.
B00HES9CMS,"Viva Naturals #1 Best Selling Certified Organic Cacao Powder from Superior Criollo Beans, 1 LB Bag",Personal_Care_Appliances,5,Absolutely love this product. Prompt service. Great quality.
B00598WTE8,Aloha Eyewear “Stone Creek MX1” Men’s Sports Wrap-Around Bifocal Reading Sunglasses,Personal_Care_Appliances,5,Bought these for my husband and he loves them
B00EOCO93Y,Brasso Multi-purpose Metal Polish 8 Ounce,Personal_Care_Appliances,5,This stuff is amazing! Use a mask though!
B0001UMQ5Q,Mirror Go Round 4-way Mirror Compact Assembly,Personal_Care_Appliances,4,Very helpful.
